Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
P29322	TYR_EPHA8	TYR	EPHA8 EEK HEK3 KIAA1459	1005	DOMAIN 31..209; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 328..438; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 439..534; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 635..896; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 930..994; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q16620	TYR_NTRK2	TYR	NTRK2 TRKB	822	DOMAIN 32..61; /note="LRRNT"; DOMAIN 148..196; /note="LRRCT"; DOMAIN 197..282; /note="Ig-like C2-type 1"; DOMAIN 295..365; /note="Ig-like C2-type 2"; DOMAIN 538..807; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q01973	TYR_ROR1	TYR	ROR1 NTRKR1	937	DOMAIN 42..147; /note="Ig-like C2-type"; DOMAIN 165..299; /note="FZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00090"; DOMAIN 312..391; /note="Kringle"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00121"; DOMAIN 473..746; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q6ZN16	STE_MAP3K15	STE	MAP3K15 ASK3	1313	DOMAIN 652..908; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P54760	TYR_EPHB4	TYR	EPHB4 HTK MYK1 TYRO11	987	DOMAIN 17..202; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 323..432; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 436..529; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 615..899; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 907..971; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P06241	TYR_FYN	TYR	FYN	537	DOMAIN 82..143; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 149..246; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 271..524; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O43283	STE_MAP3K13	STE	MAP3K13 LZK	966	DOMAIN 168..409; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P21709	TYR_EPHA1	TYR	EPHA1 EPH EPHT EPHT1	976	DOMAIN 27..209; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 332..445; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 447..538; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 624..884; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 913..976; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q15569	TKL_TESK1	TKL	TESK1	626	DOMAIN 57..314; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q02779	STE_MAP3K10	STE	MAP3K10 MLK2 MST	954	DOMAIN 16..81; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 98..360; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13233	STE_MAP3K1	STE	MAP3K1 MAPKKK1 MEKK MEKK1	1512	DOMAIN 1243..1508; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P35590	TYR_TIE1	TYR	TIE1 TIE	1138	DOMAIN 43..105; /note="Ig-like C2-type 1"; DOMAIN 214..256; /note="EGF-like 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 258..303; /note="EGF-like 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 305..345; /note="EGF-like 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00076"; DOMAIN 372..426; /note="Ig-like C2-type 2"; DOMAIN 446..545; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 548..642; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 646..739; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 839..1118; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8NFD2	TKL_ANKK1	TKL	ANKK1 PKK2 SGK288	765	DOMAIN 22..289; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y6R4	STE_MAP3K4	STE	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	1608	DOMAIN 1343..1601; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q56UN5	STE_MAP3K19	STE	MAP3K19 RCK YSK4	1328	DOMAIN 1061..1324; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q12852	STE_MAP3K12	STE	MAP3K12 ZPK	859	DOMAIN 125..366; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q02750	STE_MAP2K1	STE	MAP2K1 MEK1 PRKMK1	393	DOMAIN 68..361; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P45985	STE_MAP2K4	STE	MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1	399	DOMAIN 102..367; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P46734	STE_MAP2K3	STE	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	347	DOMAIN 64..325; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P43403	TYR_ZAP70	TYR	ZAP70 SRK	619	DOMAIN 10..102; /note="SH2 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 163..254; /note="SH2 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 338..600; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9UF33	TYR_EPHA6	TYR	EPHA6 EHK2 HEK12	1036	DOMAIN 34..212; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 331..441; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 442..537; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 631..944; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 961..1025; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P08922	TYR_ROS1	TYR	ROS1 MCF3 ROS	2347	DOMAIN 101..196; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 197..285; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 557..671; /note="Fibronectin type-III 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 947..1042; /note="Fibronectin type-III 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1043..1150; /note="Fibronectin type-III 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1450..1556; /note="Fibronectin type-III 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1557..1656; /note="Fibronectin type-III 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1658..1751; /note="Fibronectin type-III 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1752..1854; /note="Fibronectin type-III 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 1945..2222; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q99558	STE_MAP3K14	STE	MAP3K14 NIK	947	DOMAIN 400..655; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q16584	STE_MAP3K11	STE	MAP3K11 MLK3 PTK1 SPRK	847	DOMAIN 41..105; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 117..379; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P36507	STE_MAP2K2	STE	MAP2K2 MEK2 MKK2 PRKMK2	400	DOMAIN 72..369; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q16832	TYR_DDR2	TYR	DDR2 NTRKR3 TKT TYRO10	855	DOMAIN 30..185; /note="F5/8 type C"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00081"; DOMAIN 563..849; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q16288	TYR_NTRK3	TYR	NTRK3 TRKC	839	DOMAIN 160..209; /note="LRRCT"; DOMAIN 210..300; /note="Ig-like C2-type 1"; DOMAIN 309..382; /note="Ig-like C2-type 2"; DOMAIN 538..839; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q15375	TYR_EPHA7	TYR	EPHA7 EHK3 HEK11	998	DOMAIN 32..210; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 331..441; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 442..537; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 633..894; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 923..987; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P30530	TYR_AXL	TYR	AXL UFO	894	DOMAIN 27..128; /note="Ig-like C2-type 1"; DOMAIN 139..222; /note="Ig-like C2-type 2"; DOMAIN 227..331; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 336..428; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 536..807; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9NYL2	STE_MAP3K20	STE	MAP3K20 MLK7 MLTK ZAK HCCS4	800	DOMAIN 16..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 339..410; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
Q59H18	TKL_TNNI3K	TKL	TNNI3K CARK	835	DOMAIN 463..723; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q96S53	TKL_TESK2	TKL	TESK2	571	DOMAIN 58..313; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P00519	TYR_ABL1	TYR	ABL1 ABL JTK7	1130	DOMAIN 61..121; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 127..217; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 242..493; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P21860	TYR_ERBB3	TYR	ERBB3 HER3	1342	DOMAIN 709..966; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P35968	TYR_KDR	TYR	KDR FLK1 VEGFR2	1356	DOMAIN 46..110; /note="Ig-like C2-type 1"; DOMAIN 141..207; /note="Ig-like C2-type 2"; DOMAIN 224..320; /note="Ig-like C2-type 3"; DOMAIN 328..414; /note="Ig-like C2-type 4"; DOMAIN 421..548; /note="Ig-like C2-type 5"; DOMAIN 551..660; /note="Ig-like C2-type 6"; DOMAIN 667..753; /note="Ig-like C2-type 7"; DOMAIN 834..1162; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9NQU5	STE_PAK6	STE	PAK6 PAK5	681	DOMAIN 12..25; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 407..658; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O94804	STE_STK10	STE	STK10 LOK	968	DOMAIN 36..294; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P07947	TYR_YES1	TYR	YES1 YES	543	DOMAIN 91..152; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 158..255; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 277..530; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9P289	STE_STK26	STE	STK26 MASK MST4	416	DOMAIN 24..274; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13418	TKL_ILK	TKL	ILK ILK1 ILK2	452	DOMAIN 193..446; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y6E0	STE_STK24	STE	STK24 MST3 STK3	443	DOMAIN 36..286; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9H2G2	STE_SLK	STE	SLK KIAA0204 STK2	1235	DOMAIN 34..292; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 875..910; /note="UVR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00217";
O00506	STE_STK25	STE	STK25 SOK1 YSK1	426	DOMAIN 20..270; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q15303	TYR_ERBB4	TYR	ERBB4 HER4	1308	DOMAIN 718..985; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P53667	TKL_LIMK1	TKL	LIMK1 LIMK	647	DOMAIN 25..75; /note="LIM zinc-binding 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 84..137; /note="LIM zinc-binding 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 165..258; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"; DOMAIN 339..604; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q7Z2Y5	STE_NRK	STE	NRK	1582	DOMAIN 25..313; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 1209..1552; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
O43353	TKL_RIPK2	TKL	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	540	DOMAIN 18..294; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 432..524; /note="CARD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00046";
Q13043	STE_STK4	STE	STK4 KRS2 MST1	487	DOMAIN 30..281; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 433..480; /note="SARAH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00310";
Q13188	STE_STK3	STE	STK3 KRS1 MST2	491	DOMAIN 27..278; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 437..484; /note="SARAH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00310";
Q7L7X3	STE_TAOK1	STE	TAOK1 KIAA1361 MAP3K16 MARKK	1001	DOMAIN 28..281; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q8IVT5	TKL_KSR1	TKL	KSR1 KSR	923	DOMAIN 613..883; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P12931	TYR_SRC	TYR	SRC SRC1	536	DOMAIN 84..145; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 151..248; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 270..523; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9P286	STE_PAK5	STE	PAK5 KIAA1264 PAK7	719	DOMAIN 11..24; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 449..700; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q6VAB6	TKL_KSR2	TKL	KSR2	950	DOMAIN 666..931; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P53671	TKL_LIMK2	TKL	LIMK2	638	DOMAIN 12..63; /note="LIM zinc-binding 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 72..124; /note="LIM zinc-binding 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00125"; DOMAIN 152..239; /note="PDZ"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00143"; DOMAIN 331..608; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P08581	TYR_MET	TYR	MET	1390	DOMAIN 27..515; /note="Sema"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00352"; DOMAIN 563..655; /note="IPT/TIG 1"; DOMAIN 657..739; /note="IPT/TIG 2"; DOMAIN 742..836; /note="IPT/TIG 3"; DOMAIN 1078..1345; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q96KB5	STE_PBK	STE	PBK TOPK	322	DOMAIN 32..322; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O96013	STE_PAK4	STE	PAK4 KIAA1142	591	DOMAIN 11..24; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 321..572; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P41279	STE_MAP3K8	STE	MAP3K8 COT ESTF	467	DOMAIN 138..388; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P04626	TYR_ERBB2	TYR	ERBB2 HER2 MLN19 NEU NGL	1255	DOMAIN 720..987; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9UL54	STE_TAOK2	STE	TAOK2 KIAA0881 MAP3K17 PSK PSK1 UNQ2971/PRO7431	1235	DOMAIN 28..281; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q04912	TYR_MST1R	TYR	MST1R PTK8 RON	1400	DOMAIN 31..522; /note="Sema"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00352"; DOMAIN 569..671; /note="IPT/TIG 1"; DOMAIN 684..767; /note="IPT/TIG 2"; DOMAIN 770..860; /note="IPT/TIG 3"; DOMAIN 1082..1345; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9H2K8	STE_TAOK3	STE	TAOK3 DPK JIK KDS MAP3K18	898	DOMAIN 24..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y572	TKL_RIPK3	TKL	RIPK3 RIP3	518	DOMAIN 21..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P57078	TKL_RIPK4	TKL	RIPK4 ANKRD3 DIK	832	DOMAIN 22..286; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13153	STE_PAK1	STE	PAK1	545	DOMAIN 75..88; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 270..521; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P00533	TYR_EGFR	TYR	EGFR ERBB ERBB1 HER1	1210	DOMAIN 712..979; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O75914	STE_PAK3	STE	PAK3 OPHN3	559	DOMAIN 70..83; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 283..534; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13177	STE_PAK2	STE	PAK2	524	DOMAIN 74..87; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"; DOMAIN 249..499; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9UKE5	STE_TNIK	STE	TNIK KIAA0551	1360	DOMAIN 25..289; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 1047..1334; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795";
P09769	TYR_FGR	TYR	FGR SRC2	529	DOMAIN 77..138; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 144..241; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 263..516; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9Y616	TKL_IRAK3	TKL	IRAK3	596	DOMAIN 41..106; /note="Death"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00064"; DOMAIN 165..452; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q5S007	TKL_LRRK2	TKL	LRRK2 PARK8	2527	DOMAIN 1328..1511; /note="Roc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00758"; DOMAIN 1879..2138; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O15197	TYR_EPHB6	TYR	EPHB6	1021	DOMAIN 33..237; /note="Eph LBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00883"; DOMAIN 369..486; /note="Fibronectin type-III 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 487..582; /note="Fibronectin type-III 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00316"; DOMAIN 670..919; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 948..1012; /note="SAM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00184";
P07332	TYR_FES	TYR	FES FPS	822	DOMAIN 1..260; /note="F-BAR"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01077"; DOMAIN 460..549; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 561..822; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P51617	TKL_IRAK1	TKL	IRAK1 IRAK	712	DOMAIN 27..106; /note="Death"; DOMAIN 212..521; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q38SD2	TKL_LRRK1	TKL	LRRK1 KIAA1790	2015	DOMAIN 632..826; /note="Roc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00758"; DOMAIN 1242..1525; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P16066	cyclase_NPR1	cyclase	NPR1 ANPRA	1061	DOMAIN 528..805; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 876..1006; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099";
P37023	TKL_ACVRL1	TKL	ACVRL1 ACVRLK1 ALK1	503	DOMAIN 172..201; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 202..492; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P36896	TKL_ACVR1B	TKL	ACVR1B ACVRLK4 ALK4	505	DOMAIN 177..206; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 207..497; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O43187	TKL_IRAK2	TKL	IRAK2	625	DOMAIN 13..94; /note="Death"; DOMAIN 210..489; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P36894	TKL_BMPR1A	TKL	BMPR1A ACVRLK3 ALK3	532	DOMAIN 204..233; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 234..525; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O95747	STE_OXSR1	STE	OXSR1 KIAA1101 OSR1	527	DOMAIN 17..291; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q9NWZ3	TKL_IRAK4	TKL	IRAK4	460	DOMAIN 20..104; /note="Death"; DOMAIN 186..454; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q04771	TKL_ACVR1	TKL	ACVR1 ACVRLK2	509	DOMAIN 178..207; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 208..502; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P10721	TYR_KIT	TYR	KIT SCFR	976	DOMAIN 27..112; /note="Ig-like C2-type 1"; DOMAIN 121..205; /note="Ig-like C2-type 2"; DOMAIN 212..308; /note="Ig-like C2-type 3"; DOMAIN 317..410; /note="Ig-like C2-type 4"; DOMAIN 413..507; /note="Ig-like C2-type 5"; DOMAIN 589..937; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P36897	TKL_TGFBR1	TKL	TGFBR1 ALK5 SKR4	503	DOMAIN 175..204; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 205..495; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q13546	TKL_RIPK1	TKL	RIPK1 RIP RIP1	671	DOMAIN 17..289; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 583..669; /note="Death"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00064";
Q8NER5	TKL_ACVR1C	TKL	ACVR1C ALK7	493	DOMAIN 165..194; /note="GS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00585"; DOMAIN 195..485; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P10398	TKL_ARAF	TKL	ARAF ARAF1 PKS PKS2	606	DOMAIN 19..91; /note="RBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00262"; DOMAIN 310..570; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P15056	TKL_BRAF	TKL	BRAF BRAF1 RAFB1	766	DOMAIN 155..227; /note="RBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00262"; DOMAIN 457..717; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P20594	cyclase_NPR2	cyclase	NPR2 ANPRB	1047	DOMAIN 513..786; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 861..991; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099";
