Entry	Entry Name	Protein names	Gene Names	Length	Protein families	Domain [FT]
Q13464	ROCK1_HUMAN	Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)	ROCK1	1354	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 76..338; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 341..409; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 479..556; /note="REM-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 949..1015; /note="RhoBD"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01206"; DOMAIN 1118..1317; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"
Q9HCP0	KC1G1_HUMAN	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	CSNK1G1	422	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 44..315; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P49674	KC1E_HUMAN	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E	416	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	DOMAIN 9..277; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P27361	MK03_HUMAN	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	379	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 42..330; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O15530	PDPK1_HUMAN	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	PDPK1 PDK1	556	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily	DOMAIN 82..342; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 459..550; /note="PH"
Q13164	MK07_HUMAN	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7	816	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 55..347; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P11309	PIM1_HUMAN	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	313	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily	DOMAIN 38..290; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P51817	PRKX_HUMAN	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	PRKX PKX1	358	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily	DOMAIN 49..303; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 304..358; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q09013	DMPK_HUMAN	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	DMPK DM1PK MDPK	629	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	DOMAIN 71..339; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 340..415; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
O43293	DAPK3_HUMAN	Death-associated protein kinase 3 (DAP kinase 3) (EC 2.7.11.1) (DAP-like kinase) (Dlk) (MYPT1 kinase) (Zipper-interacting protein kinase) (ZIP-kinase)	DAPK3 ZIPK	454	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	DOMAIN 13..275; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P05771	KPCB_HUMAN	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1	671	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 158..275; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 342..600; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 601..671; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P17252	KPCA_HUMAN	Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13)	PRKCA PKCA PRKACA	672	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 158..275; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 339..597; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 598..668; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q6P5Z2	PKN3_HUMAN	Serine/threonine-protein kinase N3 (EC 2.7.11.13) (Protein kinase PKN-beta) (Protein-kinase C-related kinase 3)	PKN3 PKNBETA	889	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 5..80; /note="REM-1 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 93..163; /note="REM-1 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 165..245; /note="REM-1 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 559..818; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 819..889; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q6P3R8	NEK5_HUMAN	Serine/threonine-protein kinase Nek5 (EC 2.7.11.1) (Never in mitosis A-related kinase 5) (NimA-related protein kinase 5)	NEK5	708	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	DOMAIN 4..259; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P43250	GRK6_HUMAN	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	576	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 53..171; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 186..448; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 449..514; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q8IZL9	CDK20_HUMAN	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	CDK20 CCRK CDCH	346	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..288; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9UBS0	KS6B2_HUMAN	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	RPS6KB2 STK14B	482	Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily	DOMAIN 67..328; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 329..399; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P11801	KPSH1_HUMAN	Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1)	PSKH1	424	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 98..355; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9BUB5	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	MKNK1 MNK1	465	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 49..374; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P49137	MAPK2_HUMAN	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	400	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 64..325; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P32298	GRK4_HUMAN	G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)	GRK4 GPRK2L GPRK4	578	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 52..172; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 187..449; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 450..515; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q8WTQ7	GRK7_HUMAN	Rhodopsin kinase GRK7 (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	GRK7 GPRK7	553	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 56..176; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 191..454; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 455..520; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q16512	PKN1_HUMAN	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	942	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 25..100; /note="REM-1 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 112..193; /note="REM-1 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 201..280; /note="REM-1 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01207"; DOMAIN 307..470; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 615..874; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 875..942; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9UPZ9	CILK1_HUMAN	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Ciliogenesis associated kinase 1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	CILK1 ICK KIAA0936	632	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..284; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000305"
Q8IU85	KCC1D_HUMAN	Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK)	CAMK1D CAMKID	385	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 23..279; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O94768	ST17B_HUMAN	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	STK17B DRAK2	372	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	DOMAIN 33..293; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P53355	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	DAPK1 DAPK	1430	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	DOMAIN 13..275; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 681..955; /note="Roc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00758"; DOMAIN 1312..1396; /note="Death"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00064"
Q6DT37	MRCKG_HUMAN	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPG DMPK2	1551	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	DOMAIN 71..337; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000269|PubMed:15194684"; DOMAIN 338..408; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 947..1066; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 1092..1366; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795"; DOMAIN 1437..1450; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"
P57059	SIK1_HUMAN	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)	SIK1 SIK SNF1LK	783	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, AMPK subfamily	DOMAIN 27..278; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 303..343; /note="UBA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"
Q9UPE1	SRPK3_HUMAN	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	SRPK3 MSSK1 STK23	567	Protein kinase superfamily, CMGC Ser/Thr protein kinase family	DOMAIN 79..565; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q15139	KPCD1_HUMAN	Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)	PRKD1 PKD PKD1 PRKCM	912	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PKD subfamily	DOMAIN 422..541; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 583..839; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q14C86	GAPD1_HUMAN	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	GAPVD1 GAPEX5 KIAA1521 RAP6	1478	GAPVD1 family	DOMAIN 131..353; /note="Ras-GAP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00167"; DOMAIN 1338..1478; /note="VPS9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00550"
Q15835	GRK1_HUMAN	Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1)	GRK1 RHOK	563	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 58..175; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 190..455; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 456..521; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9UIK4	DAPK2_HUMAN	Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)	DAPK2	370	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	DOMAIN 23..285; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P34947	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	590	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 53..171; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 186..448; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 449..514; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q9HBY8	SGK2_HUMAN	Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	SGK2	367	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 35..292; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 293..367; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q14680	MELK_HUMAN	Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2)	MELK KIAA0175	651	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 11..263; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 602..651; /note="KA1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00565"
P20794	MAK_HUMAN	Serine/threonine-protein kinase MAK (EC 2.7.11.1) (Male germ cell-associated kinase)	MAK	623	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..284; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q16644	MAPK3_HUMAN	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3) (MAPKAP kinase 3) (MAPKAP-K3) (MAPKAPK-3) (MK-3) (EC 2.7.11.1) (Chromosome 3p kinase) (3pK)	MAPKAPK3	382	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	DOMAIN 44..304; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9Y463	DYR1B_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DYRK1B MIRK	629	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	DOMAIN 111..431; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O14578	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	2027	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 97..360; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 361..431; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 1443..1563; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 1591..1881; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795"
O15075	DCLK1_HUMAN	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	740	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	DOMAIN 57..143; /note="Doublecortin 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00072"; DOMAIN 186..269; /note="Doublecortin 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00072"; DOMAIN 390..647; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q05655	KPCD_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)]	PRKCD PKCD	676	Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily	DOMAIN 1..106; /note="C2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 349..603; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 604..675; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P54646	AAPK2_HUMAN	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	552	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	DOMAIN 16..268; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q13237	KGP2_HUMAN	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	PRKG2 PRKGR2	762	Protein kinase superfamily, AGC Ser/Thr protein kinase family, cGMP subfamily	DOMAIN 453..711; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 712..762; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q96BR1	SGK3_HUMAN	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)	SGK3 CISK SGKL	496	Protein kinase superfamily, AGC Ser/Thr protein kinase family	DOMAIN 12..124; /note="PX"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00147"; DOMAIN 162..419; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 420..496; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
Q00532	CDKL1_HUMAN	Cyclin-dependent kinase-like 1 (EC 2.7.11.22) (Protein kinase p42 KKIALRE) (Serine/threonine-protein kinase KKIALRE)	CDKL1	357	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	DOMAIN 4..287; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P53778	MK12_HUMAN	Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3)	MAPK12 ERK6 SAPK3	367	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 27..311; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
O15264	MK13_HUMAN	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4	365	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	DOMAIN 25..308; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
P31751	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	481	Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	DOMAIN 5..108; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 152..409; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 410..481; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"
P35626	ARBK2_HUMAN	G protein-coupled receptor kinase 3 (EC 2.7.11.15) (Beta-adrenergic receptor kinase 2) (Beta-ARK-2)	GRK3 ADRBK2 BARK2	688	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	DOMAIN 54..175; /note="RGS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00171"; DOMAIN 191..453; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 454..521; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 558..652; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"
Q5VT25	MRCKA_HUMAN	Serine/threonine-protein kinase MRCK alpha (EC 2.7.11.1) (CDC42-binding protein kinase alpha) (DMPK-like alpha) (Myotonic dystrophy kinase-related CDC42-binding kinase alpha) (MRCK alpha) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPA KIAA0451	1732	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	DOMAIN 77..343; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000269|PubMed:9092543"; DOMAIN 344..414; /note="AGC-kinase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00618"; DOMAIN 1082..1201; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 1227..1499; /note="CNH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00795"; DOMAIN 1571..1584; /note="CRIB"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00057"
P49841	GSK3B_HUMAN	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	420	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily	DOMAIN 56..340; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
